filename,split,class
HFM2_20210516234906_0016_L1B_CMOS1_3_9_512_512_1.png,train,positive
HHM1_20210819234751_0003_L1B_CMOS2_17_11_512_512_1.png,train,positive
HFM2_20200827222226_0002_L1B_CMOS1_13_17_512_512_0.png,train,negative
HFM2_20210516234906_0013_L1B_CMOS2_17_15_512_512_1.png,train,positive
HGM2_20200621234228_0006_L1B_CMOS1_7_13_512_512_0.png,train,negative
HHM1_20210819234751_0003_L1B_CMOS2_11_6_512_512_0.png,train,negative
HFM2_20200827222226_0002_L1B_CMOS1_3_17_512_512_0.png,train,negative
HHM1_20210819234751_0003_L1B_CMOS2_10_14_512_512_1.png,train,positive
HFM2_20210516234906_0016_L1B_CMOS1_1_12_512_512_1.png,train,positive
HEW1_20200622150241_0006_L1B_CMOS2_6_11_512_512_0.png,train,negative
HGM2_20200603235033_0005_L1B_CMOS2_12_5_512_512_1.png,train,positive
HEM1_20200623235326_0005_L1B_CMOS2_12_2_512_512_1.png,train,positive
HFM2_20200827222226_0001_L1B_CMOS1_18_0_449_512_1.png,train,positive
HEM2_20200722222051_0008_L1B_CMOS3_6_10_512_512_1.png,train,positive
HFM2_20210516234906_0016_L1B_CMOS3_9_12_512_512_0.png,train,negative
HFM2_20210516234906_0013_L1B_CMOS2_14_17_512_512_0.png,train,negative
HFM2_20210516234906_0013_L1B_CMOS2_8_3_512_512_1.png,train,positive
HFM2_20210516234906_0013_L1B_CMOS2_16_6_512_512_1.png,train,positive
HGM2_20200603235033_0005_L1B_CMOS2_8_16_512_512_1.png,train,positive
HFM2_20210516234906_0013_L1B_CMOS3_8_4_512_512_1.png,train,positive
HEM2_20200722222051_0008_L1B_CMOS3_8_6_512_512_1.png,train,positive
HEM1_20200623235326_0005_L1B_CMOS2_14_3_512_512_0.png,train,negative
HFM2_20210516234906_0013_L1B_CMOS3_8_8_512_512_1.png,train,positive
HFM2_20210516234906_0013_L1B_CMOS3_3_16_512_512_0.png,train,negative
HFM2_20200827222226_0002_L1B_CMOS1_2_2_512_512_1.png,train,positive
HFM2_20200827222226_0002_L1B_CMOS1_8_0_512_512_1.png,train,positive
HFM2_20210516234906_0016_L1B_CMOS1_3_17_512_512_1.png,train,positive
HFM2_20210516234906_0016_L1B_CMOS1_6_15_512_512_1.png,train,positive
HFM2_20210516234906_0013_L1B_CMOS2_7_0_512_512_1.png,train,positive
HFM2_20200827222226_0002_L1B_CMOS1_13_16_512_512_0.png,train,negative
HFM2_20200827222226_0001_L1B_CMOS3_0_7_512_512_0.png,train,negative
HGM2_20200603235033_0005_L1B_CMOS2_9_18_512_448_1.png,train,positive
HFM2_20210516234906_0013_L1B_CMOS2_16_7_512_512_1.png,train,positive
HGM2_20200603235033_0005_L1B_CMOS2_11_3_512_512_1.png,train,positive
HFM2_20210516234906_0016_L1B_CMOS1_5_13_512_512_1.png,train,positive
HFM2_20210516234906_0016_L1B_CMOS3_14_3_512_512_1.png,train,positive
HFM2_20210516234906_0015_L1B_CMOS1_15_17_512_512_1.png,train,positive
HHM1_20210819234751_0003_L1B_CMOS2_8_5_512_512_0.png,train,negative
HFM2_20200827222226_0001_L1B_CMOS1_17_13_512_512_0.png,train,negative
HFM2_20210516234906_0013_L1B_CMOS2_9_1_512_512_1.png,train,positive
HFM2_20210516234906_0013_L1B_CMOS2_5_2_512_512_1.png,train,positive
HFM2_20200827222226_0001_L1B_CMOS1_3_12_512_512_0.png,train,negative
HFM2_20200827222226_0002_L1B_CMOS1_2_14_512_512_0.png,train,negative
HGM2_20200603235033_0005_L1B_CMOS2_15_6_512_512_1.png,train,positive
HFM2_20210516234906_0016_L1B_CMOS1_9_15_512_512_1.png,train,positive
HFM2_20210516234906_0016_L1B_CMOS1_14_7_512_512_0.png,train,negative
HHM1_20210819234751_0003_L1B_CMOS2_6_3_512_512_0.png,train,negative
HEM2_20200722222051_0008_L1B_CMOS3_6_18_512_448_0.png,train,negative
HGM2_20200603235033_0007_L1B_CMOS2_1_2_512_512_1.png,train,positive
HHM1_20210819234751_0003_L1B_CMOS2_4_5_512_512_0.png,train,negative
HFM2_20200827222226_0001_L1B_CMOS1_11_18_512_448_0.png,train,negative
